go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.20400 0.30033 0.10767 0.29724 0.12558 202 65 784 298
0.20400 0.30033 0.10767 0.27552 0.10293 202 66 794 301
0.20400 0.30033 0.10767 0.29949 0.10256 202 66 802 304
0.20400 0.30033 0.10767 0.27749 0.12496 202 65 811 308
0.20400 0.30033 0.10767 0.27641 0.10219 202 66 819 311
0.20400 0.30033 0.10767 0.29805 0.10239 202 64 828 314
0.20400 0.30033 0.10767 0.29680 0.10208 202 65 836 317
0.20400 0.30033 0.10767 0.29873 0.10221 202 66 845 321
0.20400 0.30033 0.10767 0.29885 0.12301 202 64 854 324
0.20400 0.30033 0.10767 0.29818 0.10159 202 65 863 327
0.20400 0.30033 0.10767 0.32135 0.10096 199 67 872 330
0.20400 0.30033 0.10767 0.29823 0.10164 199 68 881 333
0.20400 0.30033 0.10767 0.32141 0.12310 197 66 891 337
0.20400 0.30033 0.10767 0.29849 0.10315 197 67 898 340
0.20400 0.30033 0.10767 0.27623 0.10277 200 67 907 343
0.20400 0.30033 0.10767 0.29830 0.10351 201 66 916 346
0.20400 0.30033 0.10767 0.27551 0.10292 202 66 924 349
0.20400 0.30033 0.10767 0.29800 0.10259 202 65 933 353
0.20400 0.30033 0.10767 0.27604 0.10277 202 66 942 356
0.20400 0.30033 0.10767 0.29836 0.10239 199 64 952 359
0.20400 0.30033 0.10767 0.29799 0.10250 199 65 960 362
0.20400 0.30033 0.10767 0.29693 0.10228 200 65 969 366
0.20400 0.30033 0.10767 0.29703 0.12438 202 64 977 369
0.20400 0.30033 0.10767 0.29719 0.10171 202 65 986 372
0.20400 0.30033 0.10767 0.29735 0.10144 202 66 994 375
0.20400 0.30033 0.10767 0.29827 0.10107 202 67 1003 378
0.20400 0.30033 0.10767 0.29821 0.12290 202 66 1012 382
0.20400 0.30033 0.10767 0.29752 0.10174 202 67 1021 385
0.20400 0.30033 0.10767 0.29753 0.10175 202 65 1030 388
0.20400 0.30033 0.10767 0.29851 0.10224 201 66 1038 391
0.19800 0.28267 0.10133 0.32310 0.10196 196 65 1049 395
0.18600 0.27383 0.09817 0.29927 0.12325 189 62 1056 398
0.18000 0.26500 0.09183 0.27610 0.10112 186 60 1065 401
0.16800 0.24733 0.08867 0.29750 0.10058 173 57 1074 404
0.16200 0.23850 0.08233 0.27290 0.09989 168 55 1082 407
1084 408 Fin!A> go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.00000 0.22083 0.07917 0.00000 0.00000 1 0 45 24
0.00600 0.00883 0.00317 0.00000 0.00000 3 1 45 24
0.01200 0.01767 0.00633 0.00000 0.00000 6 2 45 24
0.01800 0.02650 0.00950 0.00000 0.00000 10 3 45 24
0.02400 0.03533 0.01583 0.00000 0.00000 16 5 45 24
0.03000 0.05300 0.01900 0.00000 0.00000 22 8 45 24
0.04200 0.06183 0.02217 0.00000 0.00000 38 13 45 24
0.04800 0.07067 0.02533 0.00000 0.00000 48 17 45 24
0.05400 0.07950 0.02850 0.00000 0.00000 58 21 46 24
0.06000 0.08833 0.03483 0.00172 0.00206 70 25 46 25
0.07200 0.10600 0.03800 0.00172 0.00206 92 34 47 25
0.07800 0.11483 0.04117 0.03433 0.00206 102 39 49 25
0.08400 0.12367 0.04433 0.04893 0.00206 112 44 50 26
0.09000 0.14133 0.05067 0.05199 0.01595 123 53 52 26
0.10200 0.15017 0.05383 0.07723 0.02962 144 56 54 27
0.10800 0.15900 0.05700 0.08584 0.02962 154 60 56 28
0.11400 0.17667 0.06333 0.09197 0.03586 164 67 59 29
0.12600 0.18550 0.06650 0.09754 0.03929 186 71 63 30
0.13200 0.19433 0.07283 0.13209 0.04560 195 74 66 31
0.13800 0.21200 0.07600 0.14093 0.04765 202 81 71 33
0.15000 0.22083 0.07917 0.14804 0.07284 202 82 75 35
0.15600 0.22967 0.08550 0.18210 0.05473 202 86 80 36
0.16800 0.24733 0.08867 0.18727 0.05584 202 91 86 39
0.17400 0.25617 0.09183 0.19717 0.05796 202 96 92 41
0.18000 0.27383 0.09817 0.20117 0.08692 202 98 99 44
0.19200 0.28267 0.10133 0.20270 0.09591 202 99 105 46
0.19800 0.29150 0.10767 0.23261 0.09684 202 101 111 49
0.21000 0.30917 0.11083 0.21012 0.09849 202 103 118 52
0.21000 0.30917 0.11083 0.23932 0.10131 202 105 125 55
